target_acc,asm_acc
PDT000769113.1,
PDT001210273.1,GCA_021595685.1
PDT002391618.1,
PDT002391615.1,
PDT002391634.1,
PDT002097618.1,
PDT002391164.1,
PDT001456435.3,GCA_025764935.3
PDT002186429.1,GCA_040047405.1
PDT002391716.1,
PDT002390293.1,GCA_042158895.1
PDT002391583.1,
PDT002391688.1,
PDT001346657.1,GCA_023934465.1
PDT001342623.1,GCA_023992335.1
PDT000754237.1,GCA_021684275.1
PDT000754238.1,GCA_021684295.1
PDT000172925.1,GCA_900145675.1
PDT000173025.1,GCA_900146535.1
PDT000172930.1,GCA_900143755.1
PDT000172992.1,GCA_900146255.1
PDT000172800.1,GCA_900144565.1
PDT001348395.1,GCA_024011715.1
PDT000755631.1,
PDT002266619.1,GCA_040884415.1
PDT000076761.1,GCA_001181825.1
PDT002043212.1,
PDT001047851.1,GCA_018457065.1
PDT001702033.1,GCA_031824255.1
PDT002042699.1,GCA_034816285.1
PDT002042713.1,GCA_034816025.1
PDT000424276.1,GCA_021710105.1
PDT000442583.1,
PDT001348546.1,
PDT000759694.1,
PDT000771355.1,
PDT000920378.1,
PDT001191146.1,
PDT001339927.1,
PDT002299719.1,GCA_041062905.1
PDT000595636.1,GCA_902203935.1
PDT000595489.1,GCA_902202275.1
PDT001371332.1,GCA_024483345.1
PDT001375252.1,GCA_024510925.1
PDT000753511.1,GCA_021696265.1
PDT002028978.1,GCA_963433385.1
PDT002026897.1,GCA_963432685.1
PDT002027615.1,GCA_963452905.1
PDT002021178.1,GCA_963436055.1
PDT002023589.1,GCA_963440335.1
PDT002027474.1,GCA_963450495.1
PDT002026831.1,GCA_963449995.1
PDT002023326.1,GCA_963427195.1
PDT001087717.1,GCA_021652675.1
PDT002021285.1,GCA_963447655.1
PDT002022901.1,GCA_963452775.1
PDT002023666.1,GCA_963444035.1
PDT001997121.1,GCA_033937385.1
PDT002027031.1,GCA_963454465.1
PDT002021252.1,GCA_963432415.1
PDT002346999.1,GCA_964241375.1
PDT002022457.1,GCA_963437245.1
PDT002026876.1,GCA_963443025.1
PDT002030332.1,GCA_963454685.1
PDT002021223.1,GCA_963447775.1
PDT002021474.1,GCA_963438105.1
PDT002164110.1,
PDT002164400.1,
PDT000045187.1,GCA_000791275.1
PDT002043225.1,
PDT000392037.1,GCA_003632165.1
PDT000070673.1,GCA_001065035.1
PDT000067539.1,GCA_001024325.1
PDT000756200.1,
PDT001157456.3,GCA_021645125.1
PDT001993317.1,GCA_033850255.1
PDT001346549.1,GCA_023939185.1
PDT000903079.3,GCA_021665575.3
PDT001451148.1,GCA_025662375.1
PDT001011729.1,GCA_021663215.1
PDT001577092.1,GCA_027992965.1
PDT001094424.3,GCA_021646205.3
PDT001487474.3,GCA_026221215.3
PDT000985243.3,GCA_021664995.3
PDT001366686.1,GCA_024375405.1
PDT001677731.1,
PDT001203029.1,
PDT001965193.1,GCA_021669335.3
PDT002381072.1,
PDT002210083.1,
PDT001113362.1,GCA_019687455.1
PDT000429948.1,GCA_003974905.1
PDT001615396.1,GCA_028609125.1
PDT000243180.1,GCA_002329925.1
PDT000388832.1,GCA_003611345.1
PDT000395991.1,GCA_003669855.1
PDT000769152.1,GCA_021676415.1
PDT000768004.1,GCA_021681155.1
PDT000768038.1,GCA_021680455.1
PDT000293764.1,GCA_002976215.1
PDT001994451.1,GCA_033884715.1
PDT001994362.1,GCA_033886465.1
PDT001993888.1,GCA_033874175.1
PDT001993860.1,GCA_033874555.1
PDT001993841.1,GCA_033892685.1
PDT001994461.1,GCA_033884525.1
PDT001994483.1,GCA_033884095.1
PDT001226446.1,
PDT001451077.1,GCA_025660955.1
PDT001993891.1,GCA_033874135.1
PDT001339963.1,
PDT001668251.1,GCA_029398095.1
PDT001668192.1,GCA_029399095.1
PDT001346621.1,GCA_023916205.1
PDT001346651.1,
PDT001346536.1,GCA_023917005.1
PDT000364906.1,GCA_003397515.1
PDT001707112.1,GCA_029871015.1
PDT000540466.1,GCA_006704465.1
PDT001086003.1,GCA_019167115.1
PDT001342783.1,GCA_023991015.1
PDT001346355.1,GCA_023941325.1
PDT001809970.1,GCA_030411015.1
PDT000842847.1,GCA_014672955.1
PDT000795138.1,GCA_013435305.1
PDT000795098.1,GCA_013434505.1
PDT000797666.1,GCA_013619545.1
PDT000753308.1,GCA_021704375.1
PDT001203173.4,
PDT001200628.1,
PDT001221911.1,GCA_021590365.1
PDT002014294.1,GCA_034046375.1
PDT001113473.1,GCA_019691095.1
PDT001127739.1,GCA_019909525.1
PDT001363037.1,GCA_024322535.1
PDT001127852.1,GCA_019913145.1
PDT001211698.1,GCA_021592805.1
PDT001210190.1,GCA_021597465.1
PDT001210069.1,GCA_021601065.1
PDT000915628.1,GCA_016010575.1
PDT001228316.1,GCA_021532885.1
PDT001197971.1,GCA_021060945.1
PDT001339039.1,GCA_024004415.1
PDT001211754.1,
PDT001342759.1,GCA_023991515.1
PDT001426581.1,GCA_025263605.1
PDT001346039.1,GCA_023921625.1
PDT001346338.1,GCA_023936465.1
PDT001456122.1,GCA_025736975.1
PDT001020841.1,GCA_018279265.1
PDT001257112.1,GCA_022423125.1
PDT001244041.1,GCA_022015975.1
PDT001349789.1,GCA_023933785.1
PDT000992779.1,GCA_017599425.1
PDT001207654.3,
PDT000768091.1,GCA_021679435.1
PDT001294442.1,GCA_023101285.1
PDT001567170.1,GCA_027583575.1
PDT001760708.1,GCA_030122155.1
PDT001344408.1,GCA_023942495.1
PDT001395246.2,GCA_024716455.1
PDT001471603.1,GCA_025924975.1
PDT001676913.1,
PDT001593682.1,
PDT001567155.1,GCA_027571345.1
PDT002266004.1,
PDT001451052.1,GCA_025658335.1
PDT001808900.1,GCA_030398115.1
PDT001413224.1,GCA_025104715.1
PDT001413993.1,GCA_025129995.1
PDT001413781.1,GCA_025123855.1
PDT001413723.1,GCA_025122695.1
PDT001413777.1,GCA_025123775.1
PDT001413973.1,GCA_025129595.1
PDT001346335.1,GCA_023935665.1
PDT001413864.1,GCA_025125515.1
PDT002081863.2,GCA_036664195.1
PDT001221930.1,GCA_021590025.1
PDT001346258.1,GCA_023919125.1
PDT001611769.1,GCA_028569775.1
PDT001612773.1,GCA_028595335.1
PDT001940636.1,GCA_032750435.1
PDT001767625.1,GCA_030163675.1
PDT002223269.2,GCA_040257255.1
PDT001993695.1,GCA_033895125.1
PDT001898068.1,GCA_031850835.1
PDT001897985.1,GCA_031849175.1
PDT002035277.1,GCA_034485945.1
PDT001877440.1,GCA_031207325.1
PDT001877515.1,GCA_031211085.1
PDT002081869.2,GCA_036664315.1
PDT001861805.1,GCA_030865145.1
PDT002320010.1,
PDT002319933.1,
PDT002320077.1,
PDT002043179.1,
PDT002299688.1,GCA_041062285.1
PDT002085496.1,GCA_036762435.1
PDT002098953.1,GCA_037002105.1
PDT002098954.1,GCA_037002125.1
