target_acc,asm_acc
PDT001308066.1,GCA_023405715.1
PDT001260157.1,
PDT001243599.1,
PDT001244574.1,
PDT001610831.1,
PDT000438139.1,
PDT000747483.1,
PDT001336804.1,
PDT001468766.4,
PDT000858612.1,
PDT001108045.1,
PDT001308157.1,
PDT001386329.1,
PDT001774775.1,GCA_030249315.1
PDT000727025.1,
PDT000746688.1,
PDT000674937.1,
PDT000881053.1,
PDT001373847.4,
PDT000893412.1,
PDT001259519.1,
PDT001227651.1,
PDT001815780.1,GCA_032533625.1
PDT002122388.1,
PDT000949320.1,
PDT002265288.1,
PDT001230161.1,
PDT000727061.1,
PDT001038367.1,
PDT000136518.2,
PDT001858379.2,
PDT001157498.7,
PDT000870768.1,
PDT001308010.1,
PDT001370424.1,
PDT001651742.1,
PDT000442362.1,
PDT001211498.1,
PDT000929664.1,
PDT001993311.1,
PDT001244240.1,
PDT001884710.1,
PDT001385969.1,
PDT002265179.1,
PDT000130168.1,GCA_900077695.1
PDT001706259.1,GCA_030784945.1
PDT000749237.1,
PDT000901766.4,
PDT000924967.1,GCA_016446185.1
PDT001672811.1,GCA_029493585.1
PDT002134065.1,
PDT000438077.1,
PDT001669984.4,
PDT001677191.2,GCA_029721115.1
PDT001485154.4,
PDT001700680.1,
PDT001056433.1,
PDT001259244.1,
PDT001324158.1,GCA_023671485.1
PDT001385963.1,
PDT001386164.1,
PDT000535663.1,
PDT001217157.1,
PDT000821615.4,
PDT001817646.1,
PDT001726335.5,
PDT001019300.4,
PDT001243906.1,
PDT000745947.1,
PDT001466230.1,
PDT001672890.1,
PDT001259699.1,
PDT001196717.1,
PDT001288680.1,
PDT001815772.1,
PDT000136619.2,
PDT001228756.6,
PDT002260206.1,
PDT000968710.1,
PDT001884740.1,
PDT002318283.1,GCA_041202495.1
PDT000535657.1,
PDT000774590.1,GCA_013376815.1
PDT002055637.1,
PDT001610816.1,
PDT000949232.1,
PDT000663726.1,
PDT001288872.1,
PDT000727228.1,
PDT001663513.1,
PDT000633189.1,
PDT001192573.1,
PDT001336788.1,GCA_903935865.1
PDT001345403.1,GCA_023924785.1
PDT000041772.1,GCA_000770155.1
PDT001229761.4,
PDT001229735.1,
PDT002234124.1,
PDT002227289.1,GCA_040276475.1
PDT001227558.1,
PDT001385968.1,
PDT001191924.1,
PDT001038364.1,
PDT001543699.1,GCA_027258715.1
PDT002270779.1,
PDT000589944.1,
PDT001815812.1,GCA_032533405.1
PDT001178824.1,GCA_020889525.1
PDT001381369.1,GCA_024583295.1
PDT001196856.1,
PDT000434573.1,
PDT001196723.1,
PDT001610789.1,
PDT001003113.1,
PDT001230165.1,
PDT001038519.1,
PDT001345476.1,
PDT001164992.1,GCA_020673785.1
PDT001243344.1,
PDT000949215.1,
PDT001594113.1,
PDT002245208.1,GCA_040565195.1
PDT001227765.1,
PDT002280177.1,GCA_040983115.1
PDT001315874.1,GCA_023558965.1
PDT002335656.1,
PDT001739635.2,
PDT000858682.1,
PDT000858663.1,
PDT001992732.1,
PDT000858070.1,
PDT001260049.1,
PDT002230398.1,
PDT001273553.1,
PDT000943998.1,
PDT001219523.1,
PDT002270783.1,
PDT001216375.1,
PDT001442174.1,
PDT001336805.1,
PDT001222629.4,
PDT000589919.1,
PDT001288173.1,
PDT001297054.1,GCA_023151795.1
PDT001610790.1,
PDT000675209.1,
PDT001726366.5,
PDT001708970.1,
PDT001083946.1,
PDT000745791.1,
PDT002335641.1,
PDT000070347.1,GCA_001057255.1
PDT001672838.1,
PDT001259506.1,
PDT000438206.1,
PDT001328029.1,
PDT000715047.1,
PDT000857913.1,
PDT001227630.1,
PDT001084320.6,
PDT002305263.1,
PDT000620536.1,
PDT000881054.1,
PDT001257936.3,GCA_022474035.3
PDT000634199.1,
PDT000943931.1,
PDT001599858.4,
PDT002244577.1,
PDT002037033.1,
PDT001260449.1,
PDT001019283.4,
PDT000442630.1,
PDT000943979.1,
PDT000870697.1,
PDT001197741.2,
PDT001260031.1,
PDT000745722.1,
PDT002047298.1,GCA_035235085.1
PDT000727180.1,GCA_018085105.1
PDT000924972.1,GCA_018030925.1
PDT001664224.2,
PDT000870766.1,
PDT001259843.1,
PDT000145879.4,
PDT002265050.1,
PDT000437934.1,
PDT001345448.1,
PDT001690797.4,
PDT001308124.1,
PDT001370591.1,
PDT000858334.1,
PDT001385995.1,
PDT001192581.1,
PDT000348151.1,GCA_003289825.1
PDT001217044.1,
PDT001814561.1,
PDT002387570.1,
PDT000746199.1,
PDT002139501.1,
PDT001770099.2,
PDT001744303.2,
PDT001767526.2,
PDT000870177.2,
PDT001288554.1,
PDT001003124.1,
PDT000986841.1,
PDT001071433.1,
PDT000870778.1,
PDT002373018.1,
PDT001226727.1,
PDT001776392.1,
PDT001567107.1,GCA_027585035.1
PDT002020157.1,
PDT001823739.2,
PDT000857885.1,
PDT000858316.1,
PDT002096730.2,GCA_036951785.1
PDT001706341.1,GCA_030781205.1
PDT002260712.1,
PDT001308045.1,
PDT001079858.4,
PDT000759794.1,GCA_015683375.1
PDT001244933.1,
PDT002318290.1,GCA_041206705.1
PDT002277545.1,GCA_964208855.1
PDT001165607.4,
PDT001019301.1,
PDT001298452.1,
PDT001815792.1,
PDT000793112.1,
PDT001243492.1,
PDT000675151.1,
PDT001217218.1,
PDT002061191.1,
PDT001288781.1,
PDT001273656.1,
PDT001469317.1,
PDT000929671.1,
PDT001385930.1,
PDT001078532.1,
PDT002247010.1,
PDT000870784.1,
PDT002265239.1,
PDT002337944.1,
PDT000858674.1,
PDT001056450.1,
PDT000949243.1,
PDT001298444.1,
PDT000893352.1,
PDT001815786.1,
PDT000943944.1,
PDT001691135.1,
PDT001672753.1,
PDT002270529.1,
PDT001082038.1,
PDT001308031.1,
PDT002134067.1,
PDT000145889.4,
PDT001370411.1,
PDT000858341.1,
PDT001273845.1,GCA_022631385.1
PDT002122438.1,
PDT000429873.1,GCA_003985225.1
PDT001519561.1,
PDT001245028.1,
PDT001577116.4,
PDT002081192.1,
PDT001038465.1,
PDT001451580.1,
PDT001233335.3,GCA_021752335.3
PDT000675503.1,
PDT001324568.1,
