target_acc,asm_acc
PDT000387361.1,GCA_003595955.1
PDT001416163.1,GCA_025153245.1
PDT001788163.1,GCA_031114755.1
PDT001602661.3,GCA_028461025.3
PDT001671961.1,GCA_029441335.1
PDT000359897.1,GCA_003356085.1
PDT002392245.1,GCA_042146535.1
PDT002364321.1,GCA_041765645.1
PDT001839626.2,GCA_031102685.2
PDT001971194.1,GCA_033345255.1
PDT001322319.3,GCA_023682415.3
PDT001505870.1,GCA_026566015.1
PDT002239506.1,GCA_040444165.1
PDT002263395.1,GCA_040825435.1
PDT001116133.3,GCA_019743955.3
PDT000850582.3,GCA_016479985.3
PDT002078263.1,GCA_036622255.1
PDT001923513.2,GCA_032633765.2
PDT001001315.3,GCA_017835815.3
PDT002391655.1,
PDT001353800.3,GCA_024175605.3
PDT001673414.1,GCA_029541025.1
PDT002391727.1,
PDT001505875.1,GCA_026565935.1
PDT000647884.1,GCA_009759915.1
PDT000534413.1,GCA_006492625.1
PDT001695696.1,GCA_029841815.1
PDT002391610.1,
PDT002388903.1,GCA_042142335.1
PDT001232694.3,GCA_021724975.3
PDT002392253.1,GCA_042151695.1
PDT002049972.1,GCA_035514435.1
PDT002391679.1,
PDT001147064.1,GCA_020254775.1
PDT001505504.1,
PDT002392234.1,GCA_042140585.1
PDT001435617.1,GCA_025406635.1
PDT002239852.1,GCA_040505835.1
PDT001336299.1,GCA_024025955.1
PDT001963312.2,GCA_033180545.2
PDT002275352.1,GCA_040943345.1
PDT002392230.1,GCA_042140485.1
PDT000431571.1,GCA_016510835.1
PDT001114962.1,GCA_019732935.1
PDT001276542.1,GCA_022967655.1
PDT000659764.1,GCA_016504685.1
PDT000173800.3,GCA_016514235.1
PDT000605847.1,GCA_008987045.1
PDT000045329.2,GCA_000794125.2
PDT000216839.1,GCA_002183365.1
PDT000865843.1,
PDT000361029.1,GCA_900444735.1
PDT002126765.1,
PDT002126933.1,
PDT000660214.1,
PDT000168492.1,GCA_900043995.1
PDT001292485.1,GCA_023004985.1
PDT000659941.1,
PDT000659421.1,
PDT000209068.1,GCA_002137715.1
PDT000751425.1,GCA_016485265.1
PDT000662637.1,GCA_009829525.1
PDT000595115.1,GCA_008709685.1
PDT000746590.1,
PDT000746970.1,
PDT000746654.1,
PDT000746295.1,
PDT000880224.1,
PDT001491410.1,
PDT001200253.1,
PDT002134038.1,
PDT001093815.1,GCA_019305605.1
PDT000712203.1,GCA_011603355.1
PDT000610922.1,GCA_009035845.1
PDT000659423.1,
PDT001873272.1,GCA_031183615.1
PDT002026716.1,GCA_034296835.1
PDT002277502.1,GCA_964206705.1
PDT001250799.1,GCA_022238475.1
PDT001671871.1,GCA_029437865.1
PDT000135592.1,GCA_001674865.1
PDT000135572.2,GCA_001674475.2
PDT001257334.3,GCA_022443945.3
PDT001373655.3,GCA_024538055.3
PDT001224750.3,GCA_028061695.3
PDT001443222.3,GCA_025601195.2
PDT001419969.3,GCA_025240785.3
PDT001278718.3,GCA_022915935.3
PDT001707478.3,GCA_031135165.2
PDT001456775.3,GCA_025777315.3
PDT001874972.2,GCA_031237045.2
PDT001779488.2,GCA_031130265.2
PDT001787974.2,GCA_031114995.2
PDT001143350.3,GCA_020218935.3
PDT001836877.2,
PDT002213449.1,GCA_040238025.1
PDT001614417.3,GCA_028623245.3
PDT001707476.3,GCA_031135205.2
PDT001506416.1,GCA_026555035.1
PDT001947751.2,GCA_032849225.2
PDT001707440.3,GCA_031143835.2
PDT001927856.2,GCA_032704685.2
PDT001741857.1,GCA_029714065.1
PDT001157075.7,GCA_020535525.4
PDT000868601.3,GCA_016475945.3
PDT001067683.3,GCA_018868585.3
PDT000091959.1,GCA_001399655.1
PDT000115298.2,GCA_016519525.2
PDT000114221.2,GCA_016525785.2
PDT000106790.2,GCA_016540865.2
PDT000369044.1,GCA_003431865.1
PDT000156213.1,GCA_001864165.1
PDT000659346.1,
PDT001095938.2,GCA_019316825.1
PDT000051199.2,GCA_000949055.2
PDT000092664.1,GCA_001415325.1
PDT001957266.1,GCA_033131155.1
PDT001187399.1,GCA_020991895.1
PDT000304621.1,GCA_003039415.1
PDT000929061.1,GCA_016508385.1
PDT000383121.1,GCA_003584505.1
PDT000417650.1,GCA_003940325.1
PDT002145416.1,GCA_038433745.1
PDT000600534.1,GCA_008806495.1
PDT001218768.1,GCA_021389375.1
PDT002239592.1,GCA_040494095.1
PDT001006730.1,GCA_017949435.1
PDT001006724.1,GCA_017949315.1
PDT001016876.1,GCA_018221375.1
PDT001006838.1,GCA_017951635.1
PDT002126775.1,
PDT001506235.1,GCA_026558815.1
PDT000870016.1,GCA_014947215.1
PDT000932745.1,GCA_016613625.1
PDT001046505.1,GCA_018443095.1
PDT001353207.1,GCA_024139095.1
PDT000945270.2,GCA_904886885.1
PDT002247701.1,GCA_040604135.1
PDT000746163.1,
PDT001218756.1,GCA_021389135.1
PDT001135538.1,GCA_020101435.1
PDT001360380.1,GCA_024259355.1
PDT001135589.1,GCA_020100915.1
PDT002345859.1,GCA_041534635.1
PDT001276640.1,GCA_022967015.1
PDT001845287.2,GCA_031101375.2
PDT002131959.1,GCA_037008665.2
PDT001443647.1,GCA_025603155.1
PDT001325523.1,GCA_023783025.1
PDT002345971.1,GCA_041536945.1
PDT001825577.2,GCA_030516795.1
PDT001127689.1,GCA_019920125.1
PDT001371134.1,
PDT001603127.1,GCA_028442625.1
PDT001898913.1,GCA_031875525.1
PDT001688591.1,GCA_029678785.1
PDT001603076.1,GCA_028441565.1
PDT001766015.1,GCA_030130795.1
PDT000725309.3,GCA_016490265.3
PDT001505712.1,GCA_026569115.1
PDT001771559.1,GCA_030197735.1
PDT001518571.1,GCA_026675935.1
PDT001957084.1,GCA_033134435.1
PDT001771503.1,GCA_030188495.1
PDT001820065.1,GCA_030485085.1
PDT002302003.1,GCA_041079835.1
PDT001294364.3,GCA_023121515.3
PDT001874285.1,GCA_031157905.1
PDT001653494.1,
PDT001595080.1,GCA_028177645.1
PDT002127183.1,GCA_037783605.1
PDT002072028.1,GCA_036350375.1
PDT000114322.2,GCA_016523595.2
PDT000605678.1,GCA_008976435.1
PDT001469768.1,GCA_025896035.1
PDT000097161.1,GCA_001457535.1
PDT001603013.1,GCA_028440335.1
PDT001603016.1,GCA_028440385.1
PDT000424079.1,GCA_016512815.1
PDT000442541.1,
PDT000660334.1,GCA_016498665.1
PDT000751391.1,GCA_016486005.1
PDT001194548.1,
PDT000355790.1,GCA_003345805.1
PDT000887017.1,
PDT001191480.1,
PDT000173834.2,GCA_016516965.2
PDT001364685.1,GCA_024369695.1
PDT001336291.1,GCA_024026175.1
PDT001506120.1,GCA_026561215.1
PDT001194566.1,
PDT002059619.1,GCA_958317565.1
PDT001616504.1,GCA_028658125.1
PDT000893175.1,GCA_016474575.1
PDT002056827.1,
PDT002326862.1,
PDT001253170.4,
PDT001106423.3,GCA_019506005.3
PDT000659454.1,
PDT001850801.2,
PDT002387604.1,
PDT001318189.3,GCA_023615485.3
PDT002025912.1,GCA_034330245.1
PDT002390117.1,GCA_042144905.1
PDT001850546.3,GCA_031100415.2
PDT002148301.1,GCA_038625245.1
PDT002094429.1,GCA_036905795.1
PDT001292970.3,GCA_023118615.3
PDT002097755.1,GCA_036988065.1
PDT002364857.1,GCA_041786255.1
PDT000526482.1,GCA_006367905.1
PDT000093830.1,GCA_001432705.1
PDT000092659.1,GCA_001415215.1
PDT000092700.1,GCA_001416035.1
PDT000114226.2,GCA_016525615.2
PDT000046796.3,GCA_000811885.3
PDT002342600.1,GCA_041526405.1
PDT000209067.1,GCA_002137695.1
PDT001147096.1,GCA_020255415.1
PDT000290036.1,GCA_002950895.1
PDT000642559.1,GCA_009737765.1
PDT000417643.1,GCA_003940015.1
PDT000623239.1,GCA_009497575.1
PDT000115284.2,GCA_016519945.2
PDT000626486.2,GCA_009645605.1
PDT002191009.1,
PDT001506195.1,GCA_026559635.1
PDT000892978.1,GCA_015536845.1
PDT000837119.1,GCA_014531745.1
PDT001205158.1,GCA_021174465.1
PDT001505681.1,GCA_026569775.1
PDT001691726.1,GCA_029774275.1
PDT001665449.1,
PDT001218586.1,GCA_021385715.1
PDT000526358.1,GCA_006365385.1
PDT001325895.1,GCA_023776255.1
PDT001502899.1,GCA_026473105.1
PDT001603121.1,GCA_028442505.1
PDT001010859.1,
PDT000863620.1,GCA_014881165.1
PDT001506291.1,GCA_026557435.1
PDT001506108.1,GCA_026561375.1
PDT001832187.1,GCA_030550955.1
PDT002045059.1,GCA_035022365.1
PDT001456700.3,GCA_025776755.3
PDT002239504.1,GCA_040444025.1
PDT002247491.1,GCA_040599935.1
PDT002247200.1,GCA_040593705.1
PDT001231347.1,GCA_021571585.1
PDT001251839.1,GCA_918856515.1
PDT002189152.1,GCA_040067405.1
PDT002250820.1,GCA_040698635.1
PDT002369342.1,GCA_041825445.1
PDT002126331.1,
PDT001791479.1,GCA_030345675.1
PDT001602999.1,GCA_028440065.1
PDT000424049.1,GCA_016513575.1
PDT001292515.1,GCA_023005665.1
PDT000659933.1,
PDT000634180.1,
PDT000632934.1,
PDT001193383.1,
PDT001192410.1,
PDT001191351.1,
PDT001665436.1,
PDT000123387.1,GCA_001612235.1
PDT002362301.1,GCA_041764695.1
PDT001577103.3,GCA_027992665.3
PDT001708718.3,GCA_031133525.2
PDT001157114.9,GCA_020559385.3
PDT001876313.2,GCA_031208775.2
PDT000659377.1,
PDT001544190.3,GCA_027264555.3
PDT001681817.3,GCA_029643625.3
PDT002152081.1,
