target_acc,asm_acc
PDT000236683.2,GCA_002260185.1
PDT001793210.1,GCA_030355895.1
PDT001607460.1,GCA_028516705.1
PDT001082653.1,GCA_019101745.1
PDT002174484.1,GCA_039764645.1
PDT002391706.1,
PDT002391648.1,
PDT002391600.1,
PDT002391742.1,
PDT000534670.2,GCA_006511685.1
PDT000800522.2,GCA_013625165.1
PDT001077328.1,GCA_018995305.1
PDT000361401.2,GCA_003076115.1
PDT002391803.1,
PDT002391646.1,
PDT002391649.1,
PDT000045034.2,GCA_000788115.1
PDT000097223.2,GCA_001045615.2
PDT001597430.1,GCA_028309705.1
PDT002391817.1,
PDT002391746.1,
PDT002391818.1,
PDT002391696.1,
PDT002391645.1,
PDT002391752.1,
PDT000800513.2,GCA_013624945.1
PDT002391676.1,
PDT000800520.2,GCA_013625125.1
PDT001517040.1,GCA_026750055.1
PDT002391869.1,
PDT002391635.1,
PDT000343120.2,GCA_900482935.1
PDT000361387.2,GCA_003075835.1
PDT000984868.1,GCA_017328825.1
PDT000371490.2,GCA_003424565.1
PDT000371262.2,GCA_003419525.1
PDT000371468.2,GCA_003424125.1
PDT001571036.1,GCA_027834215.1
PDT001571032.1,GCA_027832815.1
PDT001571101.1,GCA_027833755.1
PDT001571104.1,GCA_027837175.1
PDT001815837.1,GCA_032533205.1
PDT001714421.1,
PDT001714202.1,
PDT001533731.1,GCA_027105155.1
PDT001715296.1,
PDT001714697.1,
PDT001714777.1,
PDT001715234.1,
PDT001715253.1,
PDT001714855.1,
PDT001714612.1,
PDT001715280.1,
PDT001714008.1,
PDT001714393.1,
PDT000132691.2,GCA_900080405.1
PDT001711759.1,GCA_033867295.1
PDT001715284.1,
PDT001715161.1,
PDT001712010.1,
PDT001714262.1,
PDT001715558.1,GCA_033778615.1
PDT001715533.1,GCA_033779075.1
PDT001075155.1,GCA_018967445.1
PDT001714078.1,
PDT001711835.1,
PDT001715825.1,GCA_033773515.1
PDT001713408.1,
PDT001711900.1,
PDT001714869.1,
PDT001713380.1,
PDT001711559.1,GCA_032267325.1
PDT001714839.1,
PDT001555724.1,
PDT001547868.1,
PDT001545849.1,GCA_027296445.1
PDT000079059.2,GCA_001196555.1
PDT000164833.2,GCA_900097935.1
PDT001532649.1,GCA_027127635.1
PDT001532885.1,GCA_027120795.1
PDT001532059.1,GCA_027162765.1
PDT001532130.1,GCA_027159455.1
PDT001533025.1,GCA_027118095.1
PDT001532100.1,GCA_027161765.1
PDT001532943.1,GCA_027119735.1
PDT001532204.1,GCA_027151605.1
PDT000119475.2,GCA_900064445.1
PDT000115848.2,GCA_900041215.1
PDT000117660.2,GCA_900047315.1
PDT001510495.1,
PDT002041498.1,
PDT002041564.1,
PDT000090556.2,GCA_001354215.1
PDT001595760.1,
PDT001579119.1,
PDT001554068.1,GCA_027525025.1
PDT001543858.1,
PDT001543817.1,
PDT001541177.1,GCA_027215535.1
PDT001541125.1,GCA_027216625.1
PDT000601425.2,GCA_008763165.1
PDT001536785.1,
PDT001540608.1,GCA_027202385.1
PDT001554831.1,GCA_027509745.1
PDT001553337.1,
PDT001554387.1,GCA_027518645.1
PDT001553793.1,GCA_027526745.1
PDT001509779.1,
PDT001554196.1,GCA_027522505.1
PDT001553199.1,GCA_027535305.1
PDT001554256.1,GCA_027521285.1
PDT001554497.1,GCA_027516425.1
PDT001554215.1,GCA_027522085.1
PDT000118151.2,GCA_900037825.1
PDT001553891.1,
PDT001553667.1,
PDT001555124.1,GCA_027503845.1
PDT001553218.1,GCA_027534585.1
PDT000790300.2,GCA_903803335.1
PDT001554302.1,GCA_027520345.1
PDT001554764.1,GCA_027511125.1
PDT001556193.1,GCA_027544625.1
PDT001646230.1,
PDT001646359.1,
PDT000681808.2,GCA_902722685.1
PDT000681554.2,GCA_902720225.1
PDT000670339.2,GCA_902717245.1
PDT000907454.1,
PDT000907514.1,
PDT001544480.1,
PDT001520967.1,
PDT000037666.2,GCA_000731555.1
PDT001540719.1,GCA_027196245.1
PDT001536930.1,GCA_027001975.1
PDT001670207.1,GCA_029423575.1
PDT000358522.2,GCA_900457715.1
PDT001646347.1,
PDT001537016.1,GCA_026994295.1
PDT001685420.1,GCA_029641315.1
PDT001739697.1,
PDT000822296.1,
PDT000202338.2,
PDT000811183.1,
PDT000812376.1,
PDT000810943.1,
PDT000811219.1,
PDT000812344.1,
PDT000811238.1,
PDT000811899.1,
PDT000810989.1,
PDT000811065.1,
PDT000812040.1,
PDT002233458.1,GCA_040365345.1
PDT002064162.1,
PDT001597443.1,GCA_028314465.1
PDT001597377.1,GCA_028332445.1
PDT001544034.1,
PDT001668030.1,GCA_029402965.1
PDT001667854.1,GCA_029405685.1
PDT001669543.1,GCA_029389255.1
PDT001711979.1,
PDT001511204.1,GCA_026639715.1
PDT001511262.1,GCA_026638575.1
PDT001511073.1,GCA_026642775.1
PDT001540466.1,GCA_027202605.1
PDT001511220.1,GCA_026639515.1
PDT001511742.1,GCA_026629355.1
PDT001511447.1,GCA_026635035.1
PDT001511401.1,GCA_026635975.1
PDT001500422.1,GCA_026447765.1
PDT001511347.1,GCA_026636915.1
PDT000811744.1,GCA_015575215.1
PDT001529115.1,GCA_026940415.1
PDT001528965.1,GCA_026942435.1
PDT001528932.1,GCA_026942945.1
PDT000791047.2,GCA_903807895.1
PDT000790408.2,GCA_903804295.1
PDT000772436.2,GCA_903812475.1
PDT000782263.2,GCA_903800295.1
PDT001547132.1,GCA_027361075.1
PDT001544829.1,
PDT000151603.2,GCA_019246005.1
PDT001557039.1,
PDT000423396.1,GCA_015608805.1
PDT001637082.1,
PDT001589645.1,
PDT001525963.1,
PDT001526057.1,
PDT001550590.1,
PDT001550610.1,
PDT001713022.1,GCA_032220945.1
PDT001523504.1,GCA_026862215.1
PDT001547474.1,GCA_027304345.1
PDT001579304.1,GCA_027956445.1
PDT001533906.1,
PDT001574064.1,
PDT001574185.1,
PDT001574112.1,
PDT001836182.1,
PDT000284308.2,GCA_900250595.1
PDT000284338.2,GCA_900250895.1
PDT001539329.1,
PDT001539375.1,
PDT001710204.1,
PDT001710682.1,
PDT001579395.1,GCA_027954345.1
PDT001590752.1,
PDT001337308.1,
PDT001337441.1,
PDT001337491.1,
PDT001345637.1,
PDT000882329.1,
PDT001191965.1,
PDT001192001.1,
PDT000886829.1,
PDT001600590.1,GCA_028423105.1
PDT001509924.2,
PDT002033383.1,
PDT001598001.1,GCA_028352735.1
PDT001523868.1,
PDT001523851.1,
PDT000805224.2,GCA_903989955.1
PDT001544058.1,
PDT001544131.1,
PDT001572617.1,
PDT001529193.1,GCA_026962235.1
PDT001557222.1,GCA_027599505.1
PDT001557327.1,GCA_027597295.1
PDT001557234.1,GCA_027598685.1
PDT001557239.1,GCA_027607015.1
PDT001592842.1,
PDT001592807.1,
PDT001549953.1,GCA_027481245.1
PDT001608444.1,GCA_028535955.1
PDT001559830.1,GCA_027808235.1
PDT001544555.1,
PDT001306245.1,GCA_023341135.1
PDT001540124.1,
PDT001540105.1,
PDT001540086.1,
PDT001540132.1,
PDT001540000.1,
PDT001595798.1,
PDT001824955.1,GCA_032397625.1
PDT001824873.1,GCA_032399205.1
PDT001824889.1,GCA_032398905.1
PDT001824844.1,GCA_032399835.1
PDT001976488.1,GCA_033526075.1
PDT001976942.1,GCA_033513405.1
PDT001976149.1,GCA_033564555.1
PDT001977219.1,GCA_033522495.1
PDT001976604.1,GCA_033556965.1
PDT001975751.1,GCA_033567795.1
PDT001976527.1,GCA_034292455.1
PDT001975991.1,GCA_033535315.1
PDT001977036.1,GCA_033554695.1
PDT001976229.1,GCA_033561555.1
PDT001976506.1,GCA_033525975.1
PDT000220591.2,GCA_002204735.1
PDT001669846.1,GCA_029414595.1
PDT002089011.1,
PDT001828112.1,GCA_032363735.1
PDT002032302.1,
PDT001720195.1,GCA_029949295.1
PDT002032254.1,
PDT002032417.1,
PDT002032101.1,
PDT001914380.1,GCA_032382215.1
PDT001901981.1,GCA_032002505.1
PDT001902019.1,GCA_032000925.1
PDT001902048.1,GCA_031999765.1
PDT001914365.1,GCA_032382295.1
PDT001901964.1,GCA_032003185.1
PDT002064745.1,GCA_036040975.1
PDT001906143.1,
PDT002099953.1,
PDT002088793.1,
PDT002033393.1,
PDT002033454.1,
PDT001510347.1,
PDT002276012.1,
PDT001570122.1,GCA_028052215.1
PDT002091012.1,
PDT001570143.1,GCA_028051525.1
PDT001097990.1,
PDT002377034.1,GCA_041873345.1
PDT002040008.1,
PDT000069016.2,GCA_001046395.1
PDT001507942.1,
PDT001508200.1,
PDT000466743.2,GCA_004168175.1
PDT001527931.1,
PDT001508498.2,GCA_026582925.2
PDT001663264.3,GCA_029278985.3
PDT000284567.2,GCA_002904985.1
PDT000589565.1,GCA_015600985.1
PDT001539550.1,GCA_027165845.1
PDT001503602.1,GCA_026490285.1
PDT001503455.1,GCA_026495285.1
PDT001500267.1,GCA_026448565.1
PDT001499585.5,GCA_026503465.1
PDT001500249.1,GCA_026448825.1
PDT001499783.5,GCA_026484165.1
PDT001500634.1,GCA_026444085.1
PDT001500091.1,GCA_026450205.1
PDT001568523.1,GCA_027780325.1
PDT001567041.1,GCA_034690545.1
PDT001499077.1,GCA_026459825.1
PDT001499273.5,GCA_026504125.1
PDT001500099.4,GCA_026476725.1
PDT001567648.1,
PDT001498977.1,GCA_026460995.1
PDT001499042.1,GCA_026460325.1
PDT001498729.3,GCA_026479165.1
PDT001670318.1,GCA_029421275.1
PDT000310170.2,GCA_003068685.1
PDT000066771.3,GCA_001018655.2
PDT001601651.1,GCA_028451595.1
PDT001539339.1,
PDT001568227.1,GCA_027784825.1
PDT001568244.1,GCA_027784525.1
PDT001569018.1,GCA_027764665.1
PDT001568916.1,GCA_027774285.1
PDT001567940.1,GCA_027790075.1
PDT001568372.1,GCA_027782705.1
PDT001568313.1,
PDT001568734.1,GCA_027778765.1
PDT001568341.1,GCA_027783085.1
PDT001568098.1,
PDT001503302.1,GCA_026498525.1
PDT002256556.1,
PDT000210066.2,GCA_002123195.1
PDT000210095.2,GCA_002123775.1
PDT000209988.2,GCA_002121625.1
PDT001556484.1,
PDT001508968.1,GCA_026594815.1
PDT000822106.1,GCA_015544195.1
PDT001547372.1,GCA_027353265.1
PDT000822063.1,GCA_015545175.1
PDT001599891.1,GCA_028394045.1
PDT000294220.2,GCA_002983375.1
PDT001512150.1,GCA_026655245.1
PDT001616968.1,
PDT001606958.1,
PDT001783608.1,GCA_030289895.1
PDT000790286.2,GCA_903803195.1
PDT001536768.1,GCA_027014965.1
PDT001536830.1,GCA_027010065.1
PDT000848266.2,GCA_014735795.1
PDT000605585.2,GCA_008935815.1
PDT000904347.1,GCA_015716285.1
PDT000904505.1,GCA_015725585.1
PDT000904276.1,GCA_015714845.1
PDT000326676.2,GCA_003194145.1
PDT001612200.1,
PDT001524145.1,GCA_026870795.1
PDT001597694.1,
PDT000645343.2,GCA_009739865.1
PDT001098004.1,
PDT001600425.1,GCA_028419855.1
PDT001637185.1,GCA_028762305.1
PDT001098221.1,GCA_019412965.1
PDT001538755.1,GCA_027146485.1
PDT001538829.1,GCA_027146985.1
PDT001556927.1,GCA_027540705.1
PDT001589767.1,GCA_028131585.1
PDT001049401.1,GCA_018605505.1
PDT000560587.2,GCA_007677385.1
PDT001596728.1,GCA_028303025.1
PDT000605638.2,GCA_008936875.1
PDT000813811.1,GCA_009460585.1
PDT000766281.2,GCA_013338205.1
PDT000766295.2,GCA_013338475.1
PDT001530665.1,GCA_027190425.1
PDT001530093.1,GCA_027252595.1
PDT001530581.1,GCA_027193925.1
PDT001530102.1,GCA_027252455.1
PDT001530347.1,GCA_027245345.1
PDT001531101.1,GCA_027181515.1
PDT001530843.1,GCA_027186985.1
PDT001530798.1,GCA_027187845.1
PDT001531192.1,GCA_027180095.1
PDT001531057.1,GCA_027182785.1
PDT001530952.1,GCA_027184925.1
PDT001531089.1,GCA_027181615.1
PDT001531197.1,GCA_027180035.1
PDT001531040.1,GCA_027183085.1
PDT000972617.1,GCA_016920065.1
PDT000693375.2,GCA_011023255.1
PDT001526744.1,GCA_026917215.1
PDT001526880.1,GCA_026937715.1
PDT000629146.2,GCA_009660505.1
PDT000648430.2,GCA_009749625.1
PDT001016951.1,GCA_018209765.1
PDT000648594.2,GCA_009752925.1
PDT001017084.1,GCA_018212425.1
PDT000772294.2,GCA_013371405.1
PDT001515663.1,GCA_026732515.1
PDT001515819.1,GCA_026752295.1
PDT001515989.1,GCA_026725975.1
PDT001515967.1,GCA_026727775.1
PDT001509149.1,GCA_026603315.1
